Subject,StoryEmotion,FaceExpression,RT
38,Anger,Anger,2896
39,Anger,Anger,2676
40,Anger,Anger,1199
42,Anger,Anger,2464
44,Anger,Anger,2010
45,Anger,Anger,2343
46,Anger,Anger,1386
47,Anger,Anger,2107
48,Anger,Anger,1103
50,Anger,Anger,3923
51,Anger,Anger,1161
52,Anger,Anger,1167
53,Anger,Anger,3291
54,Anger,Anger,1248
55,Anger,Anger,2318
56,Anger,Anger,1220
57,Anger,Anger,1760
58,Anger,Anger,1400
59,Anger,Anger,941
61,Anger,Anger,1200
62,Anger,Anger,2325
63,Anger,Anger,892
64,Anger,Anger,1402
65,Anger,Anger,1175
66,Anger,Anger,755
67,Anger,Anger,1300
69,Anger,Anger,1001
70,Anger,Anger,951
71,Anger,Anger,1758
72,Anger,Anger,2154
38,Anger,Anger,2651
39,Anger,Anger,2956
40,Anger,Anger,1045
42,Anger,Anger,2294
44,Anger,Anger,1402
45,Anger,Anger,2106
46,Anger,Anger,1556
48,Anger,Anger,1174
50,Anger,Anger,5277
51,Anger,Anger,1740
52,Anger,Anger,1125
54,Anger,Anger,1625
55,Anger,Anger,1466
56,Anger,Anger,1615
57,Anger,Anger,5565
58,Anger,Anger,1236
59,Anger,Anger,810
60,Anger,Anger,476
61,Anger,Anger,1045
62,Anger,Anger,1640
63,Anger,Anger,1130
64,Anger,Anger,1017
65,Anger,Anger,725
66,Anger,Anger,1196
67,Anger,Anger,1041
69,Anger,Anger,995
70,Anger,Anger,1346
72,Anger,Anger,2878
38,Anger,Anger,2333
39,Anger,Anger,2152
40,Anger,Anger,1638
42,Anger,Anger,1915
44,Anger,Anger,1700
45,Anger,Anger,1363
46,Anger,Anger,1969
47,Anger,Anger,1475
48,Anger,Anger,1390
50,Anger,Anger,2279
51,Anger,Anger,1277
52,Anger,Anger,1263
53,Anger,Anger,2604
54,Anger,Anger,1625
55,Anger,Anger,2654
56,Anger,Anger,1752
58,Anger,Anger,1138
59,Anger,Anger,919
60,Anger,Anger,488
62,Anger,Anger,3168
63,Anger,Anger,1166
64,Anger,Anger,1173
65,Anger,Anger,1127
66,Anger,Anger,1086
67,Anger,Anger,1310
68,Anger,Anger,1010
69,Anger,Anger,933
70,Anger,Anger,1105
71,Anger,Anger,2903
72,Anger,Anger,3644
39,Anger,Anger,2137
40,Anger,Anger,2008
42,Anger,Anger,1714
44,Anger,Anger,1180
45,Anger,Anger,1350
46,Anger,Anger,2168
47,Anger,Anger,1702
48,Anger,Anger,2271
50,Anger,Anger,4474
51,Anger,Anger,1351
52,Anger,Anger,1227
53,Anger,Anger,3697
54,Anger,Anger,5565
55,Anger,Anger,2140
56,Anger,Anger,1164
57,Anger,Anger,3394
58,Anger,Anger,1597
59,Anger,Anger,1217
60,Anger,Anger,611
61,Anger,Anger,1176
62,Anger,Anger,5249
63,Anger,Anger,898
64,Anger,Anger,1610
65,Anger,Anger,1227
66,Anger,Anger,1118
67,Anger,Anger,1171
68,Anger,Anger,1141
69,Anger,Anger,1017
70,Anger,Anger,1082
71,Anger,Anger,1724
72,Anger,Anger,5565
38,Anger,Anger,3841
39,Anger,Anger,5018
40,Anger,Anger,1136
42,Anger,Anger,2585
45,Anger,Anger,3411
46,Anger,Anger,2251
47,Anger,Anger,1450
48,Anger,Anger,3033
50,Anger,Anger,5341
51,Anger,Anger,1403
52,Anger,Anger,1900
53,Anger,Anger,5565
54,Anger,Anger,2144
55,Anger,Anger,1804
56,Anger,Anger,1636
58,Anger,Anger,1454
59,Anger,Anger,1614
60,Anger,Anger,682
61,Anger,Anger,1223
62,Anger,Anger,3216
63,Anger,Anger,1338
64,Anger,Anger,998
65,Anger,Anger,1181
66,Anger,Anger,1763
67,Anger,Anger,1807
68,Anger,Anger,902
69,Anger,Anger,1269
70,Anger,Anger,1675
71,Anger,Anger,1933
38,Anger,Anger,2688
39,Anger,Anger,1945
40,Anger,Anger,1193
42,Anger,Anger,1901
44,Anger,Anger,1708
45,Anger,Anger,1633
46,Anger,Anger,1662
47,Anger,Anger,1367
48,Anger,Anger,1022
50,Anger,Anger,3213
51,Anger,Anger,1373
52,Anger,Anger,1085
53,Anger,Anger,2604
54,Anger,Anger,2246
55,Anger,Anger,1372
57,Anger,Anger,3455
58,Anger,Anger,1810
59,Anger,Anger,905
60,Anger,Anger,865
61,Anger,Anger,1393
62,Anger,Anger,2594
63,Anger,Anger,1206
66,Anger,Anger,1124
67,Anger,Anger,1024
68,Anger,Anger,1086
69,Anger,Anger,836
70,Anger,Anger,1061
71,Anger,Anger,1999
72,Anger,Anger,1888
38,Anger,Anger,1990
39,Anger,Anger,2290
40,Anger,Anger,1210
42,Anger,Anger,1566
44,Anger,Anger,1128
45,Anger,Anger,2221
46,Anger,Anger,2496
47,Anger,Anger,1520
48,Anger,Anger,895
50,Anger,Anger,4342
51,Anger,Anger,1857
52,Anger,Anger,1116
53,Anger,Anger,2982
54,Anger,Anger,1745
55,Anger,Anger,1192
56,Anger,Anger,1668
58,Anger,Anger,1839
59,Anger,Anger,776
60,Anger,Anger,853
61,Anger,Anger,1195
62,Anger,Anger,1462
63,Anger,Anger,829
64,Anger,Anger,1023
65,Anger,Anger,1255
66,Anger,Anger,1032
67,Anger,Anger,1324
68,Anger,Anger,1173
69,Anger,Anger,757
70,Anger,Anger,1077
71,Anger,Anger,2358
72,Anger,Anger,4795
38,Anger,Anger,5565
39,Anger,Anger,2021
40,Anger,Anger,1346
42,Anger,Anger,2724
44,Anger,Anger,1186
45,Anger,Anger,2338
46,Anger,Anger,2033
48,Anger,Anger,1076
50,Anger,Anger,5565
51,Anger,Anger,1824
53,Anger,Anger,2971
54,Anger,Anger,1949
55,Anger,Anger,2732
56,Anger,Anger,3880
57,Anger,Anger,2661
58,Anger,Anger,1412
59,Anger,Anger,890
60,Anger,Anger,695
61,Anger,Anger,1154
62,Anger,Anger,2125
63,Anger,Anger,752
64,Anger,Anger,1697
65,Anger,Anger,991
66,Anger,Anger,1191
67,Anger,Anger,2165
68,Anger,Anger,746
69,Anger,Anger,1141
70,Anger,Anger,2077
71,Anger,Anger,2172
38,Fear,Anger,2938
39,Fear,Anger,4421
40,Fear,Anger,1580
42,Fear,Anger,3543
44,Fear,Anger,2961
45,Fear,Anger,5116
46,Fear,Anger,1533
48,Fear,Anger,1706
51,Fear,Anger,9479
53,Fear,Anger,3055
55,Fear,Anger,969
56,Fear,Anger,1463
57,Fear,Anger,2094
58,Fear,Anger,1460
59,Fear,Anger,1387
60,Fear,Anger,499
61,Fear,Anger,1229
62,Fear,Anger,2955
63,Fear,Anger,973
64,Fear,Anger,1964
65,Fear,Anger,1894
66,Fear,Anger,1638
67,Fear,Anger,2341
68,Fear,Anger,1385
70,Fear,Anger,929
71,Fear,Anger,2120
72,Fear,Anger,3456
38,Fear,Fear,4881
39,Fear,Fear,2694
40,Fear,Anger,1616
42,Fear,Fear,2870
44,Fear,Anger,1955
45,Fear,Fear,3690
46,Fear,Fear,1738
47,Fear,Anger,3253
48,Fear,Fear,945
50,Fear,Fear,6088
51,Fear,Anger,1632
52,Fear,Fear,1228
53,Fear,Anger,2373
54,Fear,Fear,1697
55,Fear,Fear,2936
56,Fear,Anger,1450
58,Fear,Fear,1332
59,Fear,Anger,672
60,Fear,Fear,562
61,Fear,Fear,1207
62,Fear,Fear,3059
63,Fear,Anger,1057
64,Fear,Anger,790
65,Fear,Anger,1289
66,Fear,Anger,1414
67,Fear,Anger,1340
68,Fear,Anger,959
69,Fear,Anger,1163
70,Fear,Fear,1689
71,Fear,Anger,3174
72,Fear,Anger,3566
38,Fear,Anger,5564
39,Fear,Anger,5826
40,Fear,Anger,2247
44,Fear,Anger,3150
48,Fear,Anger,7913
52,Fear,Anger,1272
53,Fear,Anger,6904
55,Fear,Anger,1017
56,Fear,Anger,1547
57,Fear,Anger,6568
58,Fear,Anger,2320
59,Fear,Anger,1157
60,Fear,Anger,658
62,Fear,Anger,7079
64,Fear,Anger,2938
66,Fear,Anger,1369
67,Fear,Anger,1232
68,Fear,Anger,1215
69,Fear,Anger,1619
70,Fear,Anger,1968
71,Fear,Anger,3176
72,Fear,Anger,9479
38,Fear,Anger,3423
39,Fear,Anger,2788
40,Fear,Anger,1186
42,Fear,Anger,4730
45,Fear,Anger,1451
46,Fear,Anger,1616
47,Fear,Anger,3012
48,Fear,Anger,1323
51,Fear,Anger,4246
52,Fear,Anger,1561
53,Fear,Anger,2623
54,Fear,Anger,2656
55,Fear,Anger,3089
56,Fear,Anger,2274
57,Fear,Anger,2100
59,Fear,Anger,1250
62,Fear,Anger,2775
63,Fear,Anger,1436
64,Fear,Anger,1937
65,Fear,Anger,994
66,Fear,Anger,1225
67,Fear,Anger,1169
68,Fear,Anger,1376
69,Fear,Anger,921
70,Fear,Anger,1737
71,Fear,Anger,3333
72,Fear,Anger,8473
38,Fear,Anger,3104
39,Fear,Anger,2297
40,Fear,Anger,1149
42,Fear,Anger,3095
44,Fear,Anger,2509
46,Fear,Anger,2897
47,Fear,Anger,2246
51,Fear,Anger,1809
52,Fear,Anger,1458
53,Fear,Anger,2208
54,Fear,Anger,1914
55,Fear,Anger,1507
56,Fear,Anger,1822
57,Fear,Anger,2477
58,Fear,Anger,1482
59,Fear,Anger,1110
60,Fear,Anger,828
61,Fear,Anger,1200
63,Fear,Anger,1304
65,Fear,Anger,1069
66,Fear,Anger,3031
67,Fear,Anger,2971
68,Fear,Anger,1330
70,Fear,Anger,1334
71,Fear,Anger,1721
72,Fear,Anger,5326
39,Fear,Anger,2972
44,Fear,Anger,1743
45,Fear,Anger,9479
46,Fear,Anger,2400
47,Fear,Anger,3371
51,Fear,Anger,2137
52,Fear,Anger,1416
53,Fear,Anger,3672
55,Fear,Anger,3124
56,Fear,Anger,2056
57,Fear,Anger,3635
58,Fear,Anger,2871
59,Fear,Anger,654
60,Fear,Anger,1010
63,Fear,Anger,1198
64,Fear,Anger,1517
65,Fear,Anger,1020
66,Fear,Anger,1829
67,Fear,Anger,1994
69,Fear,Anger,825
70,Fear,Anger,1308
71,Fear,Anger,2310
38,Fear,Anger,5835
39,Fear,Anger,5227
40,Fear,Anger,1635
42,Fear,Anger,4773
44,Fear,Anger,3082
45,Fear,Anger,9479
46,Fear,Anger,2277
48,Fear,Anger,2032
50,Fear,Anger,7024
51,Fear,Anger,1504
53,Fear,Anger,2820
56,Fear,Anger,2074
57,Fear,Anger,2940
58,Fear,Anger,1668
59,Fear,Anger,1700
62,Fear,Anger,4113
63,Fear,Anger,1424
64,Fear,Anger,1450
65,Fear,Anger,1698
66,Fear,Anger,1759
67,Fear,Anger,1811
69,Fear,Anger,1426
70,Fear,Anger,1147
71,Fear,Anger,3607
72,Fear,Anger,5730
38,Fear,Anger,2429
39,Fear,Anger,1818
40,Fear,Anger,1909
42,Fear,Anger,2586
45,Fear,Anger,4272
46,Fear,Anger,1621
48,Fear,Anger,1679
52,Fear,Anger,937
53,Fear,Anger,7045
54,Fear,Anger,1679
55,Fear,Anger,4906
56,Fear,Anger,1330
57,Fear,Anger,3778
58,Fear,Anger,1299
59,Fear,Anger,1405
61,Fear,Anger,1297
62,Fear,Anger,3467
63,Fear,Anger,1541
65,Fear,Anger,1655
66,Fear,Anger,1821
67,Fear,Anger,1272
68,Fear,Anger,1006
69,Fear,Anger,1158
70,Fear,Anger,876
71,Fear,Anger,2288
72,Fear,Anger,9479
38,Anger,Fear,9652
39,Anger,Fear,3045
40,Anger,Fear,1836
44,Anger,Fear,2897
45,Anger,Fear,2635
46,Anger,Fear,3667
47,Anger,Fear,2288
50,Anger,Fear,5922
51,Anger,Fear,1389
52,Anger,Fear,1318
53,Anger,Fear,2520
54,Anger,Fear,1540
